 from   to   via     T_slow    T_thermal     mfp_s       mfp_t    
    37    37    41   0.000E+00   0.000E+00   6.792E-02   6.792E-02
    37    34    41   1.693E-01   1.693E-01   6.792E-02   6.792E-02
    34  1780    41   6.370E-01   7.602E-01   6.792E-02   2.144E-01
    34    37    41   1.190E-01   1.603E-01   6.792E-02   2.144E-01
    34    34    41   0.000E+00   0.000E+00   6.792E-02   2.144E-01
    40    40    42   0.000E+00   0.000E+00   1.413E-01   1.413E-01
    40   185    42   2.397E-01   2.397E-01   1.413E-01   1.413E-01
    40   148    42   6.250E-01   6.250E-01   1.413E-01   1.413E-01
   185    40    42   4.937E-01   4.937E-01   1.413E-01   1.413E-01
   185   185    42   0.000E+00   0.000E+00   1.413E-01   1.413E-01
   185   148    42   3.351E-01   3.351E-01   1.413E-01   1.413E-01
   148    40    42   6.837E-01   6.837E-01   1.413E-01   1.413E-01
   148   185    42   1.780E-01   1.780E-01   1.413E-01   1.413E-01
